日付,時分,始値,高値,安値,終値,出来高,,
2017/1/4,9:00,19270,19350,19270,19340,2705,,
2017/1/4,9:05,19340,19360,19330,19350,1374,,19340
2017/1/4,9:10,19340,19370,19340,19350,1321,,19350
2017/1/4,9:15,19350,19370,19350,19370,1397,,19350
2017/1/4,9:20,19370,19390,19370,19370,976,,19370
2017/1/4,9:25,19370,19380,19350,19360,783,,19370
2017/1/4,9:30,19370,19380,19350,19350,806,,19360
2017/1/4,9:35,19360,19380,19350,19370,1180,,19350
2017/1/4,9:40,19360,19380,19360,19380,503,,19370
2017/1/4,9:45,19370,19420,19370,19410,1328,,19380
2017/1/4,9:50,19410,19440,19410,19430,1074,,19410
2017/1/4,9:55,19430,19450,19430,19440,1032,,19430
2017/1/4,10:00,19430,19450,19420,19430,1306,,19440
2017/1/4,10:05,19430,19450,19430,19450,347,,19430
2017/1/4,10:10,19440,19450,19430,19440,862,,19450
2017/1/4,10:15,19430,19440,19420,19420,851,,19440
2017/1/4,10:20,19430,19440,19420,19430,876,,19420
2017/1/4,10:25,19440,19460,19440,19460,648,,19430
2017/1/4,10:30,19450,19470,19440,19460,775,,19460
2017/1/4,10:35,19460,19470,19450,19470,1010,,19460
2017/1/4,10:40,19470,19490,19470,19480,1299,,19470
2017/1/4,10:45,19470,19490,19470,19480,559,,19480
2017/1/4,10:50,19490,19500,19480,19490,1064,,19480
2017/1/4,10:55,19500,19500,19490,19500,362,,19490
2017/1/4,11:00,19500,19500,19490,19490,1814,,19500
2017/1/4,11:05,19490,19500,19490,19500,1019,,19490
2017/1/4,11:10,19500,19520,19500,19510,736,,19500
2017/1/4,11:15,19500,19520,19500,19510,760,,19510
2017/1/4,11:20,19520,19530,19510,19520,524,,19510
2017/1/4,11:25,19520,19530,19500,19510,1182,,19520
2017/1/4,11:30,19520,19520,19500,19500,419,,19510
2017/1/4,12:30,19500,19500,19480,19500,782,,19500
2017/1/4,12:35,19500,19510,19500,19510,201,,19500
2017/1/4,12:40,19510,19530,19500,19520,790,,19510
2017/1/4,12:45,19520,19530,19510,19520,602,,19520
2017/1/4,12:50,19530,19530,19500,19520,755,,19520
2017/1/4,12:55,19510,19520,19500,19520,434,,19520
2017/1/4,13:00,19520,19530,19510,19530,755,,19520
2017/1/4,13:05,19520,19530,19510,19530,607,,19530
2017/1/4,13:10,19540,19540,19530,19540,658,,19530
2017/1/4,13:15,19530,19550,19530,19550,514,,19540
2017/1/4,13:20,19550,19560,19540,19550,567,,19550
2017/1/4,13:25,19540,19540,19530,19540,714,,19550
2017/1/4,13:30,19540,19550,19540,19540,673,,19540
2017/1/4,13:35,19540,19550,19530,19540,483,,19540
2017/1/4,13:40,19530,19540,19530,19540,87,,19540
2017/1/4,13:45,19540,19550,19530,19550,848,,19540
2017/1/4,13:50,19540,19560,19540,19550,274,,19550
2017/1/4,13:55,19550,19560,19540,19560,556,,19550
2017/1/4,14:00,19560,19570,19550,19560,561,,19560
2017/1/4,14:05,19560,19570,19550,19550,500,,19560
2017/1/4,14:10,19560,19570,19550,19560,631,,19550
2017/1/4,14:15,19570,19570,19560,19560,130,,19560
2017/1/4,14:20,19570,19580,19560,19580,586,,19560
2017/1/4,14:25,19570,19580,19570,19580,291,,19580
2017/1/4,14:30,19570,19580,19570,19580,214,,19580
2017/1/4,14:35,19580,19590,19570,19580,840,,19580
2017/1/4,14:40,19570,19580,19570,19580,732,,19580
2017/1/4,14:45,19570,19580,19570,19570,624,,19580
2017/1/4,14:50,19570,19580,19560,19580,1203,,19570
2017/1/4,14:55,19580,19590,19570,19580,1588,,19580
2017/1/4,15:00,19590,19630,19570,19620,3138,,19580
2017/1/5,9:00,19590,19590,19550,19560,936,,19620
2017/1/5,9:05,19560,19560,19530,19540,1125,,19560
2017/1/5,9:10,19540,19580,19540,19580,1273,,19540
2017/1/5,9:15,19570,19580,19540,19550,1573,,19580
2017/1/5,9:20,19550,19570,19540,19570,1541,,19550
2017/1/5,9:25,19560,19570,19560,19570,1107,,19570
2017/1/5,9:30,19580,19610,19580,19600,1285,,19570
2017/1/5,9:35,19590,19590,19570,19580,748,,19600
2017/1/5,9:40,19580,19580,19550,19560,660,,19580
2017/1/5,9:45,19560,19580,19550,19570,816,,19560
2017/1/5,9:50,19570,19580,19560,19560,467,,19570
2017/1/5,9:55,19560,19560,19530,19540,1146,,19560
2017/1/5,10:00,19540,19550,19520,19530,1023,,19540
2017/1/5,10:05,19530,19560,19520,19540,2204,,19530
2017/1/5,10:10,19540,19550,19540,19540,299,,19540
2017/1/5,10:15,19550,19560,19550,19550,200,,19540
2017/1/5,10:20,19560,19570,19550,19560,748,,19550
2017/1/5,10:25,19560,19580,19560,19560,635,,19560
2017/1/5,10:30,19560,19560,19530,19530,1021,,19560
2017/1/5,10:35,19540,19560,19540,19560,494,,19530
2017/1/5,10:40,19550,19550,19530,19540,867,,19560
2017/1/5,10:45,19550,19550,19530,19540,582,,19540
2017/1/5,10:50,19540,19550,19540,19550,394,,19540
2017/1/5,10:55,19560,19560,19530,19540,714,,19550
2017/1/5,11:00,19530,19550,19530,19540,480,,19540
2017/1/5,11:05,19540,19540,19540,19540,148,,19540
2017/1/5,11:10,19540,19540,19530,19530,197,,19540
2017/1/5,11:15,19540,19550,19520,19540,509,,19530
2017/1/5,11:20,19540,19540,19520,19530,264,,19540
2017/1/5,11:25,19530,19540,19520,19530,480,,19530
2017/1/5,11:30,19530,19530,19520,19530,152,,19530
2017/1/5,12:30,19500,19510,19500,19510,633,,19530
2017/1/5,12:35,19510,19510,19490,19510,968,,19510
2017/1/5,12:40,19510,19510,19500,19500,293,,19510
2017/1/5,12:45,19510,19520,19500,19520,472,,19500
2017/1/5,12:50,19510,19510,19490,19490,334,,19520
2017/1/5,12:55,19490,19500,19490,19500,530,,19490
2017/1/5,13:00,19500,19510,19500,19510,199,,19500
2017/1/5,13:05,19510,19510,19500,19500,352,,19510
2017/1/5,13:10,19500,19510,19500,19510,237,,19500
2017/1/5,13:15,19520,19530,19520,19530,847,,19510
2017/1/5,13:20,19530,19530,19520,19520,58,,19530
2017/1/5,13:25,19520,19530,19500,19510,678,,19520
2017/1/5,13:30,19510,19520,19510,19510,60,,19510
2017/1/5,13:35,19510,19520,19500,19510,174,,19510
2017/1/5,13:40,19510,19520,19510,19510,8,,19510
2017/1/5,13:45,19510,19520,19510,19520,13,,19510
2017/1/5,13:50,19510,19510,19470,19490,1548,,19520
2017/1/5,13:55,19490,19490,19480,19480,669,,19490
2017/1/5,14:00,19480,19490,19480,19480,592,,19480
2017/1/5,14:05,19480,19490,19480,19480,167,,19480
2017/1/5,14:10,19470,19480,19450,19470,1199,,19480
2017/1/5,14:15,19460,19460,19460,19460,529,,19470
2017/1/5,14:20,19460,19470,19450,19470,350,,19460
2017/1/5,14:25,19460,19480,19460,19460,436,,19470
2017/1/5,14:30,19470,19470,19460,19470,477,,19460
2017/1/5,14:35,19480,19490,19480,19480,162,,19470
2017/1/5,14:40,19480,19510,19480,19480,1220,,19480
2017/1/5,14:45,19490,19520,19490,19500,1053,,19480
2017/1/5,14:50,19510,19520,19500,19500,667,,19500
2017/1/5,14:55,19500,19530,19500,19510,1555,,19500
2017/1/5,15:00,19520,19530,19500,19500,1296,,19510
2017/1/6,9:00,19330,19360,19320,19350,1303,,19500
2017/1/6,9:05,19340,19360,19340,19340,791,,19350
2017/1/6,9:10,19350,19380,19350,19380,591,,19340
2017/1/6,9:15,19380,19400,19380,19390,1222,,19380
2017/1/6,9:20,19380,19390,19370,19380,696,,19390
2017/1/6,9:25,19380,19400,19370,19390,1494,,19380
2017/1/6,9:30,19390,19420,19390,19410,1327,,19390
2017/1/6,9:35,19410,19410,19390,19400,1001,,19410
2017/1/6,9:40,19400,19410,19400,19400,337,,19400
2017/1/6,9:45,19390,19410,19390,19400,703,,19400
2017/1/6,9:50,19400,19410,19400,19410,503,,19400
2017/1/6,9:55,19410,19420,19400,19420,545,,19410
2017/1/6,10:00,19410,19430,19410,19430,369,,19420
2017/1/6,10:05,19430,19440,19430,19440,217,,19430
2017/1/6,10:10,19440,19440,19420,19420,590,,19440
2017/1/6,10:15,19420,19440,19420,19440,476,,19420
2017/1/6,10:20,19440,19460,19440,19440,467,,19440
2017/1/6,10:25,19440,19450,19440,19450,467,,19440
2017/1/6,10:30,19440,19460,19440,19450,502,,19450
2017/1/6,10:35,19450,19450,19420,19420,683,,19450
2017/1/6,10:40,19420,19440,19420,19440,568,,19420
2017/1/6,10:45,19440,19450,19430,19430,384,,19440
2017/1/6,10:50,19430,19440,19430,19440,204,,19430
2017/1/6,10:55,19430,19430,19420,19430,489,,19440
2017/1/6,11:00,19430,19440,19430,19440,9,,19430
2017/1/6,11:05,19430,19450,19430,19450,280,,19440
2017/1/6,11:10,19440,19440,19430,19430,382,,19450
2017/1/6,11:15,19440,19440,19430,19440,350,,19430
2017/1/6,11:20,19440,19450,19430,19440,389,,19440
2017/1/6,11:25,19430,19450,19430,19440,887,,19440
2017/1/6,11:30,19440,19440,19420,19420,278,,19440
2017/1/6,12:30,19430,19430,19430,19430,424,,19420
2017/1/6,12:35,19430,19430,19420,19420,45,,19430
2017/1/6,12:40,19420,19450,19420,19440,603,,19420
2017/1/6,12:45,19450,19450,19430,19440,726,,19440
2017/1/6,12:50,19450,19450,19430,19440,334,,19440
2017/1/6,12:55,19440,19440,19430,19430,181,,19440
2017/1/6,13:00,19430,19430,19420,19430,485,,19430
2017/1/6,13:05,19420,19420,19410,19420,761,,19430
2017/1/6,13:10,19420,19440,19420,19430,399,,19420
2017/1/6,13:15,19430,19440,19400,19410,974,,19430
2017/1/6,13:20,19410,19420,19410,19410,372,,19410
2017/1/6,13:25,19400,19410,19400,19400,22,,19410
2017/1/6,13:30,19400,19410,19370,19380,1554,,19400
2017/1/6,13:35,19380,19390,19370,19380,629,,19380
2017/1/6,13:40,19380,19400,19380,19400,531,,19380
2017/1/6,13:45,19400,19410,19390,19400,230,,19400
2017/1/6,13:50,19400,19420,19390,19400,310,,19400
2017/1/6,13:55,19410,19430,19410,19430,558,,19400
2017/1/6,14:00,19430,19440,19420,19430,430,,19430
2017/1/6,14:05,19430,19430,19410,19420,487,,19430
2017/1/6,14:10,19410,19430,19410,19430,214,,19420
2017/1/6,14:15,19430,19430,19410,19420,499,,19430
2017/1/6,14:20,19420,19430,19420,19420,104,,19420
2017/1/6,14:25,19430,19440,19420,19440,606,,19420
2017/1/6,14:30,19430,19440,19430,19440,23,,19440
2017/1/6,14:35,19440,19450,19430,19440,238,,19440
2017/1/6,14:40,19440,19460,19440,19450,517,,19440
2017/1/6,14:45,19450,19460,19450,19460,386,,19450
2017/1/6,14:50,19460,19460,19450,19450,255,,19460
2017/1/6,14:55,19450,19460,19440,19450,516,,19450
2017/1/6,15:00,19450,19450,19430,19430,934,,19450
2017/1/10,9:00,19400,19400,19350,19360,2454,,19430
2017/1/10,9:05,19360,19380,19350,19380,417,,19360
2017/1/10,9:10,19370,19380,19360,19370,648,,19380
2017/1/10,9:15,19370,19390,19360,19390,1719,,19370
2017/1/10,9:20,19400,19410,19390,19400,836,,19390
2017/1/10,9:25,19400,19410,19400,19410,563,,19400
2017/1/10,9:30,19410,19410,19380,19380,606,,19410
2017/1/10,9:35,19390,19390,19370,19380,868,,19380
2017/1/10,9:40,19380,19390,19360,19380,649,,19380
2017/1/10,9:45,19390,19390,19380,19390,206,,19380
2017/1/10,9:50,19390,19390,19370,19370,753,,19390
2017/1/10,9:55,19370,19380,19370,19380,32,,19370
2017/1/10,10:00,19380,19380,19350,19360,549,,19380
2017/1/10,10:05,19360,19370,19360,19360,433,,19360
2017/1/10,10:10,19360,19370,19360,19370,296,,19360
2017/1/10,10:15,19370,19380,19370,19370,305,,19370
2017/1/10,10:20,19370,19380,19360,19370,338,,19370
2017/1/10,10:25,19370,19390,19370,19380,380,,19370
2017/1/10,10:30,19370,19390,19370,19390,435,,19380
2017/1/10,10:35,19390,19400,19380,19390,273,,19390
2017/1/10,10:40,19390,19410,19390,19400,598,,19390
2017/1/10,10:45,19410,19420,19410,19410,780,,19400
2017/1/10,10:50,19400,19420,19400,19410,231,,19410
2017/1/10,10:55,19420,19430,19410,19410,474,,19410
2017/1/10,11:00,19410,19430,19410,19420,229,,19410
2017/1/10,11:05,19420,19450,19420,19440,637,,19420
2017/1/10,11:10,19440,19470,19440,19470,376,,19440
2017/1/10,11:15,19470,19470,19440,19460,1408,,19470
2017/1/10,11:20,19450,19460,19440,19450,607,,19460
2017/1/10,11:25,19450,19450,19430,19430,475,,19450
2017/1/10,11:30,19430,19440,19400,19410,668,,19430
2017/1/10,12:30,19350,19360,19300,19310,2626,,19410
2017/1/10,12:35,19310,19320,19290,19310,1242,,19310
2017/1/10,12:40,19310,19310,19280,19290,615,,19310
2017/1/10,12:45,19280,19280,19250,19260,2633,,19290
2017/1/10,12:50,19260,19280,19250,19270,1758,,19260
2017/1/10,12:55,19270,19270,19240,19250,708,,19270
2017/1/10,13:00,19240,19280,19240,19260,1133,,19250
2017/1/10,13:05,19250,19270,19250,19270,559,,19260
2017/1/10,13:10,19270,19270,19270,19270,412,,19270
2017/1/10,13:15,19280,19280,19270,19280,555,,19270
2017/1/10,13:20,19270,19270,19230,19250,1645,,19280
2017/1/10,13:25,19250,19260,19240,19250,508,,19250
2017/1/10,13:30,19260,19280,19260,19270,507,,19250
2017/1/10,13:35,19260,19280,19260,19270,280,,19270
2017/1/10,13:40,19270,19290,19260,19280,915,,19270
2017/1/10,13:45,19280,19280,19250,19260,531,,19280
2017/1/10,13:50,19260,19300,19240,19300,1360,,19260
2017/1/10,13:55,19300,19320,19300,19310,646,,19300
2017/1/10,14:00,19310,19320,19300,19320,562,,19310
2017/1/10,14:05,19320,19320,19300,19310,439,,19320
2017/1/10,14:10,19310,19310,19290,19300,448,,19310
2017/1/10,14:15,19300,19300,19280,19290,532,,19300
2017/1/10,14:20,19290,19300,19290,19290,200,,19290
2017/1/10,14:25,19290,19300,19270,19280,290,,19290
2017/1/10,14:30,19290,19320,19290,19310,705,,19280
2017/1/10,14:35,19300,19320,19300,19320,414,,19310
2017/1/10,14:40,19330,19330,19320,19320,306,,19320
2017/1/10,14:45,19310,19330,19310,19330,232,,19320
2017/1/10,14:50,19330,19330,19300,19300,657,,19330
2017/1/10,14:55,19300,19310,19290,19290,1512,,19300
2017/1/10,15:00,19290,19300,19270,19270,1784,,19290
2017/1/11,9:00,19350,19360,19330,19340,952,,19270
2017/1/11,9:05,19340,19350,19310,19310,1333,,19340
2017/1/11,9:10,19310,19370,19310,19340,1961,,19310
2017/1/11,9:15,19350,19360,19330,19350,487,,19340
2017/1/11,9:20,19350,19370,19340,19370,865,,19350
2017/1/11,9:25,19370,19380,19350,19350,721,,19370
2017/1/11,9:30,19360,19360,19340,19350,308,,19350
2017/1/11,9:35,19350,19350,19340,19340,258,,19350
2017/1/11,9:40,19330,19350,19330,19330,417,,19340
2017/1/11,9:45,19330,19360,19330,19350,523,,19330
2017/1/11,9:50,19360,19370,19350,19360,1040,,19350
2017/1/11,9:55,19370,19370,19350,19360,314,,19360
2017/1/11,10:00,19360,19370,19360,19370,150,,19360
2017/1/11,10:05,19370,19370,19360,19360,241,,19370
2017/1/11,10:10,19360,19380,19360,19370,337,,19360
2017/1/11,10:15,19370,19370,19350,19350,73,,19370
2017/1/11,10:20,19350,19360,19350,19350,139,,19350
2017/1/11,10:25,19350,19350,19340,19350,386,,19350
2017/1/11,10:30,19340,19350,19340,19340,154,,19350
2017/1/11,10:35,19350,19350,19340,19350,529,,19340
2017/1/11,10:40,19350,19350,19340,19350,27,,19350
2017/1/11,10:45,19350,19350,19350,19350,2,,19350
2017/1/11,10:50,19340,19350,19340,19340,554,,19350
2017/1/11,10:55,19340,19350,19340,19350,265,,19340
2017/1/11,11:00,19360,19360,19340,19350,512,,19350
2017/1/11,11:05,19360,19360,19340,19350,577,,19350
2017/1/11,11:10,19350,19380,19340,19370,2016,,19350
2017/1/11,11:15,19370,19390,19360,19380,530,,19370
2017/1/11,11:20,19380,19390,19380,19380,567,,19380
2017/1/11,11:25,19380,19380,19350,19360,1165,,19380
2017/1/11,11:30,19360,19370,19350,19370,181,,19360
2017/1/11,12:30,19350,19370,19350,19370,897,,19370
2017/1/11,12:35,19360,19370,19350,19370,494,,19370
2017/1/11,12:40,19370,19370,19360,19360,351,,19370
2017/1/11,12:45,19360,19360,19350,19360,323,,19360
2017/1/11,12:50,19360,19360,19340,19340,343,,19360
2017/1/11,12:55,19340,19360,19340,19360,181,,19340
2017/1/11,13:00,19360,19360,19350,19350,283,,19360
2017/1/11,13:05,19360,19360,19360,19360,490,,19350
2017/1/11,13:10,19360,19360,19360,19360,340,,19360
2017/1/11,13:15,19360,19360,19350,19360,146,,19360
2017/1/11,13:20,19360,19360,19350,19350,311,,19360
2017/1/11,13:25,19350,19350,19350,19350,171,,19350
2017/1/11,13:30,19350,19360,19340,19350,478,,19350
2017/1/11,13:35,19360,19360,19340,19340,96,,19350
2017/1/11,13:40,19350,19350,19340,19340,227,,19340
2017/1/11,13:45,19340,19350,19340,19340,193,,19340
2017/1/11,13:50,19340,19350,19340,19340,188,,19340
2017/1/11,13:55,19340,19340,19340,19340,171,,19340
2017/1/11,14:00,19350,19360,19350,19350,293,,19340
2017/1/11,14:05,19350,19360,19340,19360,213,,19350
2017/1/11,14:10,19360,19360,19350,19350,8,,19360
2017/1/11,14:15,19350,19370,19350,19360,370,,19350
2017/1/11,14:20,19360,19370,19360,19370,215,,19360
2017/1/11,14:25,19360,19360,19350,19360,445,,19370
2017/1/11,14:30,19360,19360,19340,19350,364,,19360
2017/1/11,14:35,19360,19360,19350,19360,455,,19350
2017/1/11,14:40,19360,19370,19360,19360,486,,19360
2017/1/11,14:45,19360,19370,19360,19360,204,,19360
2017/1/11,14:50,19360,19370,19350,19360,443,,19360
2017/1/11,14:55,19360,19360,19340,19350,1254,,19360
2017/1/11,15:00,19340,19370,19340,19360,1305,,19350
2017/1/12,9:00,19260,19270,19240,19260,1206,,19360
2017/1/12,9:05,19260,19260,19200,19210,1443,,19260
2017/1/12,9:10,19200,19210,19180,19180,1608,,19210
2017/1/12,9:15,19190,19190,19170,19180,1395,,19180
2017/1/12,9:20,19180,19180,19120,19140,2821,,19180
2017/1/12,9:25,19140,19140,19090,19120,1620,,19140
2017/1/12,9:30,19110,19120,19080,19100,1368,,19120
2017/1/12,9:35,19100,19110,19090,19100,1345,,19100
2017/1/12,9:40,19100,19110,19080,19110,904,,19100
2017/1/12,9:45,19110,19130,19110,19120,1289,,19110
2017/1/12,9:50,19120,19140,19110,19140,736,,19120
2017/1/12,9:55,19140,19140,19120,19120,1180,,19140
2017/1/12,10:00,19120,19130,19110,19110,584,,19120
2017/1/12,10:05,19110,19120,19100,19120,716,,19110
2017/1/12,10:10,19110,19130,19110,19130,778,,19120
2017/1/12,10:15,19120,19150,19120,19150,530,,19130
2017/1/12,10:20,19150,19160,19140,19160,1081,,19150
2017/1/12,10:25,19160,19180,19150,19180,954,,19160
2017/1/12,10:30,19180,19190,19160,19180,1101,,19180
2017/1/12,10:35,19180,19190,19160,19170,777,,19180
2017/1/12,10:40,19170,19190,19170,19190,551,,19170
2017/1/12,10:45,19190,19200,19180,19200,384,,19190
2017/1/12,10:50,19200,19210,19190,19200,426,,19200
2017/1/12,10:55,19200,19200,19190,19190,311,,19200
2017/1/12,11:00,19190,19200,19190,19190,328,,19190
2017/1/12,11:05,19190,19190,19190,19190,279,,19190
2017/1/12,11:10,19190,19190,19160,19160,836,,19190
2017/1/12,11:15,19160,19170,19150,19150,397,,19160
2017/1/12,11:20,19160,19170,19150,19160,237,,19150
2017/1/12,11:25,19160,19180,19160,19180,523,,19160
2017/1/12,11:30,19170,19190,19160,19170,810,,19180
2017/1/12,12:30,19160,19170,19140,19150,1776,,19170
2017/1/12,12:35,19140,19140,19120,19140,909,,19150
2017/1/12,12:40,19140,19150,19140,19150,133,,19140
2017/1/12,12:45,19140,19150,19080,19090,2615,,19150
2017/1/12,12:50,19090,19110,19090,19090,424,,19090
2017/1/12,12:55,19100,19110,19060,19080,1067,,19090
2017/1/12,13:00,19070,19090,19050,19080,1523,,19080
2017/1/12,13:05,19080,19080,19060,19070,708,,19080
2017/1/12,13:10,19070,19080,19050,19060,546,,19070
2017/1/12,13:15,19060,19070,19050,19060,846,,19060
2017/1/12,13:20,19060,19080,19050,19080,503,,19060
2017/1/12,13:25,19070,19100,19060,19090,1000,,19080
2017/1/12,13:30,19090,19100,19080,19100,561,,19090
2017/1/12,13:35,19100,19110,19100,19110,826,,19100
2017/1/12,13:40,19100,19110,19100,19110,155,,19110
2017/1/12,13:45,19110,19110,19100,19100,388,,19110
2017/1/12,13:50,19100,19110,19100,19100,606,,19100
2017/1/12,13:55,19100,19110,19100,19110,161,,19100
2017/1/12,14:00,19110,19160,19110,19150,1573,,19110
2017/1/12,14:05,19150,19180,19140,19170,914,,19150
2017/1/12,14:10,19180,19180,19150,19160,973,,19170
2017/1/12,14:15,19160,19190,19160,19190,861,,19160
2017/1/12,14:20,19180,19190,19170,19180,679,,19190
2017/1/12,14:25,19170,19180,19160,19160,554,,19180
2017/1/12,14:30,19170,19170,19140,19150,1317,,19160
2017/1/12,14:35,19140,19140,19130,19140,609,,19150
2017/1/12,14:40,19140,19160,19140,19150,530,,19140
2017/1/12,14:45,19150,19150,19120,19120,744,,19150
2017/1/12,14:50,19120,19130,19110,19120,817,,19120
2017/1/12,14:55,19110,19130,19110,19120,662,,19120
2017/1/12,15:00,19130,19140,19100,19130,2376,,19120
2017/1/13,9:00,19160,19180,19140,19150,1878,,19130
2017/1/13,9:05,19140,19200,19140,19200,1527,,19150
2017/1/13,9:10,19200,19230,19190,19230,1476,,19200
2017/1/13,9:15,19230,19230,19190,19200,1390,,19230
2017/1/13,9:20,19190,19200,19190,19190,124,,19200
2017/1/13,9:25,19200,19200,19190,19190,122,,19190
2017/1/13,9:30,19190,19190,19180,19180,694,,19190
2017/1/13,9:35,19180,19190,19170,19180,213,,19180
2017/1/13,9:40,19180,19180,19180,19180,97,,19180
2017/1/13,9:45,19180,19200,19180,19190,954,,19180
2017/1/13,9:50,19190,19200,19190,19200,185,,19190
2017/1/13,9:55,19190,19210,19190,19200,531,,19200
2017/1/13,10:00,19210,19230,19210,19230,1200,,19200
2017/1/13,10:05,19230,19240,19200,19220,1118,,19230
2017/1/13,10:10,19220,19230,19200,19200,900,,19220
2017/1/13,10:15,19200,19230,19200,19220,656,,19200
2017/1/13,10:20,19220,19220,19210,19210,842,,19220
2017/1/13,10:25,19200,19210,19200,19210,124,,19210
2017/1/13,10:30,19210,19210,19200,19200,102,,19210
2017/1/13,10:35,19200,19210,19200,19200,523,,19200
2017/1/13,10:40,19200,19200,19190,19200,200,,19200
2017/1/13,10:45,19200,19200,19200,19200,104,,19200
2017/1/13,10:50,19210,19210,19200,19210,124,,19200
2017/1/13,10:55,19210,19220,19210,19220,143,,19210
2017/1/13,11:00,19220,19220,19200,19200,516,,19220
2017/1/13,11:05,19200,19200,19190,19190,375,,19200
2017/1/13,11:10,19190,19200,19180,19200,384,,19190
2017/1/13,11:15,19200,19210,19200,19200,22,,19200
2017/1/13,11:20,19210,19210,19200,19200,292,,19200
2017/1/13,11:25,19200,19220,19200,19220,232,,19200
2017/1/13,11:30,19210,19220,19210,19220,331,,19220
2017/1/13,12:30,19270,19270,19250,19260,697,,19220
2017/1/13,12:35,19260,19290,19260,19280,579,,19260
2017/1/13,12:40,19280,19290,19250,19260,454,,19280
2017/1/13,12:45,19250,19270,19250,19270,74,,19260
2017/1/13,12:50,19270,19270,19260,19260,132,,19270
2017/1/13,12:55,19260,19270,19260,19270,91,,19260
2017/1/13,13:00,19270,19280,19270,19280,306,,19270
2017/1/13,13:05,19280,19280,19270,19280,77,,19280
2017/1/13,13:10,19270,19280,19270,19270,18,,19280
2017/1/13,13:15,19270,19280,19270,19270,119,,19270
2017/1/13,13:20,19260,19260,19250,19250,321,,19270
2017/1/13,13:25,19250,19260,19250,19260,118,,19250
2017/1/13,13:30,19260,19260,19250,19250,68,,19260
2017/1/13,13:35,19250,19260,19250,19250,238,,19250
2017/1/13,13:40,19250,19250,19240,19240,290,,19250
2017/1/13,13:45,19230,19250,19230,19230,205,,19240
2017/1/13,13:50,19230,19240,19230,19240,38,,19230
2017/1/13,13:55,19240,19240,19230,19240,28,,19240
2017/1/13,14:00,19230,19260,19230,19250,599,,19240
2017/1/13,14:05,19250,19260,19250,19250,242,,19250
2017/1/13,14:10,19250,19250,19250,19250,243,,19250
2017/1/13,14:15,19250,19260,19250,19250,516,,19250
2017/1/13,14:20,19250,19260,19250,19250,220,,19250
2017/1/13,14:25,19260,19260,19250,19250,198,,19250
2017/1/13,14:30,19250,19250,19250,19250,93,,19250
2017/1/13,14:35,19250,19260,19250,19250,97,,19250
2017/1/13,14:40,19250,19250,19240,19250,49,,19250
2017/1/13,14:45,19250,19250,19250,19250,33,,19250
2017/1/13,14:50,19250,19280,19240,19270,1006,,19250
2017/1/13,14:55,19270,19280,19260,19260,527,,19270
2017/1/13,15:00,19270,19300,19260,19280,2779,,19260
2017/1/16,9:00,19210,19220,19200,19210,687,,19280
2017/1/16,9:05,19200,19200,19190,19200,659,,19210
2017/1/16,9:10,19200,19240,19180,19230,1599,,19200
2017/1/16,9:15,19240,19240,19220,19230,713,,19230
2017/1/16,9:20,19230,19230,19190,19200,1186,,19230
2017/1/16,9:25,19200,19210,19190,19200,838,,19200
2017/1/16,9:30,19200,19200,19170,19180,1527,,19200
2017/1/16,9:35,19180,19190,19180,19190,296,,19180
2017/1/16,9:40,19190,19200,19190,19190,383,,19190
2017/1/16,9:45,19190,19190,19170,19190,340,,19190
2017/1/16,9:50,19190,19190,19180,19190,329,,19190
2017/1/16,9:55,19190,19200,19180,19190,383,,19190
2017/1/16,10:00,19190,19190,19160,19170,1324,,19190
2017/1/16,10:05,19160,19160,19140,19140,538,,19170
2017/1/16,10:10,19140,19150,19140,19140,74,,19140
2017/1/16,10:15,19140,19140,19110,19120,715,,19140
2017/1/16,10:20,19120,19140,19110,19130,1082,,19120
2017/1/16,10:25,19130,19140,19130,19130,289,,19130
2017/1/16,10:30,19130,19150,19130,19140,844,,19130
2017/1/16,10:35,19140,19150,19140,19150,229,,19140
2017/1/16,10:40,19140,19150,19130,19150,199,,19150
2017/1/16,10:45,19140,19140,19140,19140,450,,19150
2017/1/16,10:50,19130,19140,19120,19120,113,,19140
2017/1/16,10:55,19120,19130,19110,19130,232,,19120
2017/1/16,11:00,19130,19130,19130,19130,117,,19130
2017/1/16,11:05,19130,19130,19120,19120,145,,19130
2017/1/16,11:10,19120,19120,19080,19090,1502,,19120
2017/1/16,11:15,19090,19100,19090,19090,559,,19090
2017/1/16,11:20,19090,19090,19080,19090,283,,19090
2017/1/16,11:25,19100,19100,19090,19090,198,,19090
2017/1/16,11:30,19080,19090,19060,19060,771,,19090
2017/1/16,12:30,19080,19080,19040,19050,934,,19060
2017/1/16,12:35,19050,19090,19040,19080,1489,,19050
2017/1/16,12:40,19070,19080,19060,19070,334,,19080
2017/1/16,12:45,19060,19070,19050,19050,608,,19070
2017/1/16,12:50,19060,19090,19050,19060,3023,,19050
2017/1/16,12:55,19050,19060,19040,19050,244,,19060
2017/1/16,13:00,19050,19060,19040,19060,386,,19050
2017/1/16,13:05,19060,19070,19050,19070,1087,,19060
2017/1/16,13:10,19070,19070,19060,19060,227,,19070
2017/1/16,13:15,19060,19100,19050,19080,1218,,19060
2017/1/16,13:20,19090,19120,19090,19100,1324,,19080
2017/1/16,13:25,19110,19120,19100,19110,413,,19100
2017/1/16,13:30,19110,19120,19090,19100,506,,19110
